scenario,expiry,tenor,moneyness_basis_points,strike,qf_rates,quantlib,absolute_difference,difference_basis_points_notional,relative_difference
fast_mean_reversion,1.0,5.0,-100.0,0.015315120524428837,0.04527694661312065,0.04527667437260251,2.722405181426746e-07,0.002722405181426746,6.012820550870909e-06
fast_mean_reversion,1.0,5.0,0.0,0.025315120524428837,0.006138096449370713,0.006144200613067646,6.104163696932577e-06,0.06104163696932577,0.0009934837876143046
fast_mean_reversion,1.0,5.0,100.0,0.03531512052442884,8.253553150762273e-06,8.100399000254386e-06,1.5315415050788645e-07,0.0015315415050788646,0.01890698847094776
fast_mean_reversion,1.0,10.0,-100.0,0.015315120524428854,0.0852209293425253,0.08522092829274239,1.049782913375985e-09,1.049782913375985e-05,1.2318369846546099e-08
fast_mean_reversion,1.0,10.0,0.0,0.025315120524428854,0.007520172033622795,0.007535133491744698,1.4961458121903227e-05,0.14961458121903226,0.001985559796424924
fast_mean_reversion,1.0,10.0,100.0,0.03531512052442885,2.1347896779523472e-08,2.036812234107089e-08,9.79774438452583e-10,9.79774438452583e-06,0.048103326465048606
fast_mean_reversion,2.0,2.0,-100.0,0.015315120524428924,0.018546610066354375,0.018563945299961446,1.7335233607071454e-05,0.17335233607071454,0.0009338119309750098
fast_mean_reversion,2.0,2.0,0.0,0.025315120524428924,0.004558572246051136,0.00449078524317071,6.778700288042651e-05,0.6778700288042651,0.015094688169182108
fast_mean_reversion,2.0,2.0,100.0,0.03531512052442892,0.00022768820505692224,0.0002516382693694556,2.3950064312533366e-05,0.23950064312533367,0.09517655789219347
fast_mean_reversion,2.0,5.0,-100.0,0.015315120524428882,0.044218798592262826,0.04422104534808441,2.2467558215832906e-06,0.022467558215832906,5.080738828985228e-05
fast_mean_reversion,2.0,5.0,0.0,0.025315120524428882,0.007684408260091495,0.007707607018988818,2.3198758897322903e-05,0.23198758897322902,0.0030098523238366154
fast_mean_reversion,2.0,5.0,100.0,0.03531512052442888,7.689181111230141e-05,7.932553611182546e-05,2.4337249995240473e-06,0.02433724999524047,0.030680221260568824
fast_mean_reversion,2.0,10.0,-100.0,0.015315120524428882,0.08311770128771992,0.08311779131346723,9.00257473152033e-08,0.000900257473152033,1.0831104375197323e-06
fast_mean_reversion,2.0,10.0,0.0,0.025315120524428882,0.0094528713079319,0.009473871061214964,2.0999753283063374e-05,0.20999753283063374,0.002216596906098307
fast_mean_reversion,2.0,10.0,100.0,0.03531512052442888,1.9507466806685916e-06,1.916044169680876e-06,3.4702510987715656e-08,0.0003470251098771566,0.018111540191422353
fast_mean_reversion,5.0,2.0,-100.0,0.015315120524428917,0.01755111837301988,0.017528700768318018,2.241760470186177e-05,0.2241760470186177,0.0012789085168468462
fast_mean_reversion,5.0,2.0,0.0,0.025315120524428917,0.005149208587958679,0.005082321153162683,6.688743479599593e-05,0.6688743479599593,0.013160804439595967
fast_mean_reversion,5.0,2.0,100.0,0.035315120524428915,0.0005790599726199639,0.0005503616286664728,2.8698343953491084e-05,0.28698343953491084,0.052144521817458864
fast_mean_reversion,5.0,5.0,-100.0,0.015315120524428875,0.04121514967975859,0.04121573105433784,5.81374579249061e-07,0.00581374579249061,1.4105647634457596e-05
