ts_utc,y_true,lgbm,estimated_bias,bias_corrected
2025-12-07 13:00:00+00:00,104.145,107.35752133689265,-2.9990462389347234,110.35656757582737
2025-12-07 14:00:00+00:00,105.735,104.9129870959195,-2.9990462389347234,107.91203333485423
2025-12-07 15:00:00+00:00,109.6075,106.35799959667976,-2.9990462389347234,109.35704583561449
2025-12-07 16:00:00+00:00,111.82,114.86138890756304,-2.9990462389347234,117.86043514649776
2025-12-07 17:00:00+00:00,96.88,106.28462273603576,-2.9990462389347234,109.28366897497048
2025-12-07 18:00:00+00:00,87.4625,97.22084262473342,-2.9990462389347234,100.21988886366815
2025-12-07 19:00:00+00:00,83.75999999999999,81.81291616974381,-2.9990462389347234,84.81196240867854
2025-12-07 20:00:00+00:00,73.72,75.61631584538851,-2.9990462389347234,78.61536208432324
2025-12-07 21:00:00+00:00,65.5975,61.97021858445674,-2.9990462389347234,64.96926482339146
2025-12-07 22:00:00+00:00,41.7375,42.120779398587736,-2.9990462389347234,45.11982563752246
2025-12-07 23:00:00+00:00,19.27,10.446567194389203,-3.2322867773742083,13.678853971763411
2025-12-08 00:00:00+00:00,11.09,4.932191844835981,-3.2322867773742083,8.16447862221019
2025-12-08 01:00:00+00:00,11.6625,2.008622460675114,-3.2322867773742083,5.240909238049323
2025-12-08 02:00:00+00:00,5.59,-0.7354496392031773,-3.2322867773742083,2.4968371381710313
2025-12-08 03:00:00+00:00,12.89,5.665443378734178,-3.2322867773742083,8.897730156108386
2025-12-08 04:00:00+00:00,28.655,15.759694478403311,-3.2322867773742083,18.99198125577752
2025-12-08 05:00:00+00:00,64.3175,49.52404055505774,-3.2322867773742083,52.756327332431944
2025-12-08 06:00:00+00:00,82.84,89.28405612490077,-3.2322867773742083,92.51634290227499
2025-12-08 07:00:00+00:00,100.0,92.26502833565009,-3.2322867773742083,95.4973151130243
2025-12-08 08:00:00+00:00,98.3375,84.67233476510275,-3.2322867773742083,87.90462154247696
2025-12-08 09:00:00+00:00,86.0375,76.56946535249597,-3.2322867773742083,79.80175212987018
2025-12-08 10:00:00+00:00,79.99000000000001,71.92716696923391,-3.2322867773742083,75.15945374660812
2025-12-08 11:00:00+00:00,79.3475,72.00397873544537,-3.2322867773742083,75.23626551281959
2025-12-08 12:00:00+00:00,86.845,79.5584304701891,-3.2322867773742083,82.79071724756331
2025-12-08 13:00:00+00:00,94.08,90.3238493361712,-3.2322867773742083,93.5561361135454
2025-12-08 14:00:00+00:00,100.145,95.19397320985767,-3.2322867773742083,98.42625998723189
2025-12-08 15:00:00+00:00,101.075,94.13264244115656,-3.2322867773742083,97.36492921853078
2025-12-08 16:00:00+00:00,109.85,92.91931612836584,-3.2322867773742083,96.15160290574005
2025-12-08 17:00:00+00:00,100.2625,90.16102761705498,-3.2322867773742083,93.3933143944292
2025-12-08 18:00:00+00:00,96.635,92.95854364119506,-3.2322867773742083,96.19083041856928
2025-12-08 19:00:00+00:00,89.345,82.66665232833795,-3.2322867773742083,85.89893910571216
2025-12-08 20:00:00+00:00,83.5175,78.31228593496837,-3.2322867773742083,81.54457271234259
2025-12-08 21:00:00+00:00,80.21,73.9886654433611,-3.2322867773742083,77.22095222073531
2025-12-08 22:00:00+00:00,73.2525,67.57871067197425,-3.2322867773742083,70.81099744934846
2025-12-08 23:00:00+00:00,73.69749999999999,59.929161019691016,-3.2183406224655045,63.14750164215652
2025-12-09 00:00:00+00:00,72.785,62.36315144925698,-3.2183406224655045,65.5814920717225
2025-12-09 01:00:00+00:00,73.7125,68.88480451552591,-3.2183406224655045,72.10314513799142
2025-12-09 02:00:00+00:00,74.845,73.42243995709119,-3.2183406224655045,76.64078057955669
2025-12-09 03:00:00+00:00,73.72,76.79602584585206,-3.2183406224655045,80.01436646831756
2025-12-09 04:00:00+00:00,80.205,81.09196229946909,-3.2183406224655045,84.31030292193459
2025-12-09 05:00:00+00:00,98.8475,101.56273709607608,-3.2183406224655045,104.78107771854158
2025-12-09 06:00:00+00:00,105.79,122.37379625023225,-3.2183406224655045,125.59213687269775
2025-12-09 07:00:00+00:00,129.75,135.71325389804005,-3.2183406224655045,138.93159452050554
2025-12-09 08:00:00+00:00,111.335,122.5901481300965,-3.2183406224655045,125.808488752562
2025-12-09 09:00:00+00:00,103.06,101.21582813812384,-3.2183406224655045,104.43416876058934
2025-12-09 10:00:00+00:00,103.34,92.21629876224692,-3.2183406224655045,95.43463938471243
2025-12-09 11:00:00+00:00,97.83,89.3467316531387,-3.2183406224655045,92.56507227560421
2025-12-09 12:00:00+00:00,101.1,96.38332027563816,-3.2183406224655045,99.60166089810366
2025-12-09 13:00:00+00:00,100.22,106.4262925371352,-3.2183406224655045,109.6446331596007
2025-12-09 14:00:00+00:00,110.885,126.7466005127953,-3.2183406224655045,129.9649411352608
2025-12-09 15:00:00+00:00,108.3,130.02914392555218,-3.2183406224655045,133.24748454801767
2025-12-09 16:00:00+00:00,104.5675,123.79932990661044,-3.2183406224655045,127.01767052907594
2025-12-09 17:00:00+00:00,96.91,108.36746486135196,-3.2183406224655045,111.58580548381747
2025-12-09 18:00:00+00:00,85.1025,99.92999486678112,-3.2183406224655045,103.14833548924662
2025-12-09 19:00:00+00:00,83.67,87.38506209307864,-3.2183406224655045,90.60340271554415
2025-12-09 20:00:00+00:00,79.35499999999999,78.15021124634902,-3.2183406224655045,81.36855186881452
2025-12-09 21:00:00+00:00,73.3325,67.21491376729121,-3.2183406224655045,70.43325438975671
2025-12-09 22:00:00+00:00,55.42,52.25820187334265,-3.2183406224655045,55.476542495808154
2025-12-09 23:00:00+00:00,43.9,46.18333489386112,-2.9191793356371676,49.10251422949829
2025-12-10 00:00:00+00:00,36.48,44.40379744092463,-2.9191793356371676,47.322976776561795
2025-12-10 01:00:00+00:00,31.0,42.09511881174892,-2.9191793356371676,45.014298147386086
2025-12-10 02:00:00+00:00,35.1125,38.50377560317816,-2.9191793356371676,41.42295493881533
2025-12-10 03:00:00+00:00,48.09,42.35638162418339,-2.9191793356371676,45.27556095982056
2025-12-10 04:00:00+00:00,69.65,58.45990022719422,-2.9191793356371676,61.379079562831386
